;TicketID;Titel;Loesung
95;201606-286;"RBL 2; Radius 31; Druckseite; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfolie; teilw. Laminat und Mesh sichtbar; 6x; Breiten 0,1-4,0 cm; Längen 0,1-6,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
96;201606-287;"RBL 2; Radius 33,5; Druckseite; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; Laminat und Mesh sichtbar; 6,5x12,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
97;201606-288;"RBL 2; Radius 34,5; Druckseite; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfolie; Laminat und Mesh sichtbar; 4x; Breiten 1,5-2,5 cm; Längen 1,5-2,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 6
09.10.2012"
98;201606-289;"RBL 2; Radius 42,5; Saugseite; Hinterkante; Adwen-Schadensbericht";"Schäden der Erosionsschutzfolie; 2x; Breiten 0,2 cm; Längen 5,0-8,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 6
09.10.2012"
99;201606-290;"RBL 2; Radius 43; Druckseite; Hinterkante; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfolie; Laminat sichtbar; 3x; Breiten 0,4-1,0 cm: Längen 0,3-2,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 6
09.10.2012"
100;201606-291;"RBL 2; Radius 50,5; Druckseite; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; Laminat und Mesh sichtbar; 3,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 6
09.10.2012"
101;201606-292;"RBL 2; Blattspitze; Druckseite; Saugseite; Adwen-Schadensbericht";"Blitzschäden; 3,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 6
09.10.2012"
102;201606-293;"RBL 3; Radius 1,5; Druckseite; Adwen-Schadensbericht";"mehrere Lunker, teilweise Laminat sichtbar; 01-0,4 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 7
09.10.2012"
103;201606-294;"RBL 3; Radius 2; Druckseite; Adwen-Schadensbericht";"mehrere Lunker; teilw. Laminat sichtbar; 0,1-0,4 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 7
09.10.2012"
104;201606-295;"RBL 3; Radius 5; Saugseite; Vorderkante; Adwen-Schadensbericht";"Diagonalrisse; einmal 2,5 cm; einmal 5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 7
09.10.2012"
105;201606-296;"RBL 3; Radius 6: Saugseite; Adwen-Schadensbericht";"Diagonalriss; 5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 7
09.10.2012"
106;201606-297;"RBL 3; Radius 6; Druckseite; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfolie; Laminat sichtbar; 1,5x3,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 7
09.10.2012"
107;201606-298;"RBL 3; Radius 8; Saugseite; Adwen-Schadensberichtr";"Risssystem; 2,0x5,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 7
09.10.2012"
108;201606-299;"RBL 3; Radius 10; Saugseite; Vorderkante; Adwen-Schadensbericht";"Schäden an der Erosionsschutzfolie; 0,5x6,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 7
09.10.2012"
109;201606-300;"RBL 3; Radius 15; Druckseite; Hinerkante; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; 0,5x1,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 7
09.10.2012"
110;201606-301;"RBL 3; Radius 20; Saugseite; Adwen-Schadensbericht";"Schaden an der Erosionsschutzfolie; 5,0x5,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
111;201606-302;"RBL 3; Radius 25; Vorderkante; Adwen-Schadensbericht";"mehrere Lunker; teilweise Laminat sichtbar; 0,1-0,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
112;201606-303;"RBL 3; Radius 32; Saugseite; Adwen-Schadensbericht";"mehrere Lunker; 0,1-0,2 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
113;201606-304;"RBL 3; Radius 35; Vorderkante; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfoile; Laminat sichtbar; 2x; Breiten 0,2-0,4 cm; Längen 1,0-3,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
114;201606-305;"RBL 3; Radius 35; Vorderkante; Adwen-Schadensbericht";"Erosionsschutzfolie defekt; 3,0x25,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
115;201606-306;"RBL 3; Radius 45/46; Saugseite; Vorderkante; Adwen-Schadensbericht";"Erosionsschutzfolie defekt; 3x; breiten 5,0-9,0 cm; Längen 5,0-10,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
116;201606-307;"RBL 3; Radius 46; Druckseite; Adwen-Schadensbericht";"Abplatzungen der Ersosionsschutzfolie; Laminat sichtbar; 3x; Breiten 0,2-0,8 cm; Längen 0,-1,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
117;201606-308;"RBL 3; Radius 52,5; Druckseite; Adwen-Schadensbericht";"Blitzschäden; Längsrisse; Austritt Öl-/wassergemisch; 0,2x10 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
118;201606-309;"RBL 3; Blattspitze; Druckseite; Adwen-Schadensbericht";"Abschmelzungen an Blitzrezeptoren; 2x; Schmauchspuren am Blatt

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
119;201606-310;"RBL 3; Blattspitze; Saugseite; Adwen-Schadensbericht";"Abschmelzungen an Blitzrezeptoren; 2x; Schmauchspuren am Blatt

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 8
09.10.2012"
120;201607-197;ECUs n.e.;ECUs n.e.,
121;201608-012;HMU n.e.;"ECU-mb-av-033:~# ping 10.5.8.22
PING 10.5.8.22 (10.5.8.22) 56(84) bytes of data.
From 10.5.8.21 icmp_seq=1 Destination Host Unreachable"
122;201608-096;"RBL; SN264; Radius 55,5-56; DS; SS; HK; Adwen-Schadensbericht";"Delaminierung; 10 cm

Quelle:
RE_Reperaturbericht_GFK_GT32_2015-07-07.pdf
in Email: Rotorblattschäden GT1
Seite: 2
09.09.2015"
123;201608-097;"RBL; SN264; Radius 55,5-56; DS; SS; HK; Adwen-Schadensbericht";"Beschädigung durch Stoß; 6 cm

Quelle:
RE_Reperaturbericht_GFK_GT32_2015-07-07.pdf
in Email: Rotorblattschäden GT1
Seite: 3
09.09.2015"
124;201608-098;"RBL; SN264; Radius 55,5-56; SS; Adwen-Schadensbericht";"Gelcoatabplatzung; 0,8 cm

Quelle:
RE_Reperaturbericht_GFK_GT32_2015-07-07.pdf
in Email: Rotorblattschäden GT1
Seite: 5
09.09.2015"
125;201608-099;"RBL; SN264; Radius 55,5; Saugseite; Adwen-Schadensbericht";"Blitzschaden; 0,8 cm

Quelle:
RE_Reperaturbericht_GFK_GT32_2015-07-07.pdf
in Email: Rotorblattschäden GT1
Seite: 6
09.09.2015"
126;201608-100;"RBL; SN264, Radius 52; HK; Adwen-Schadensbericht";"Delaminierung; 10 cm

Quelle:
RE_Reperaturbericht_GFK_GT32_2015-07-07.pdf
in Email: Rotorblattschäden GT1
Seite: 7
09.09.2015"
127;201609-100;HMU n.e.;"WEA stand zum Ausfallzeitpunkt

ECU-mb-av-032:~# ping 10.5.7.212
PING 10.5.7.212 (10.5.7.212) 56(84) bytes of data.
From 10.5.7.211 icmp_seq=1 Destination Host Unreachable"
128;201703-102;RBL1 edge def.;"RBL1 edge def.
Sensorkanal deaktiviert
Sensor.Blade#1.Edge@Activity 2 sr 2020-02-28 16:07:50 

"
129;201709-118;HMU n.e.;"ECU-mb-av-032:~# ping 10.5.7.212
PING 10.5.7.212 (10.5.7.212) 56(84) bytes of data.
From 10.5.7.211 icmp_seq=1 Destination Host Unreachable"
130;201803-009;VPN ADWEN gestört;
131;201803-011;VPN Adwen gestört;
132;201803-274;;
133;201805-154;ECUs n.e.;ECUs n.e.,
134;201808-016;HMU n.e.;
135;201810-057;HMU n.e.;"ECU-mb-av-032:~# ping 10.5.7.212
PING 10.5.7.212 (10.5.7.212) 56(84) bytes of data.
From 10.5.7.211 icmp_seq=1 Destination Host Unreachable"
136;201812-197;ECUs n.e., nach Netzwerkparameteränderung Kunde;
137;201812-198;ECUs n.e., nach Netzwerkparameteränderung Kunde;
138;201902-063;HMU n.e.;192.168.3.52 n.e.
139;201906-027;HMU n.e.;
140;201911-144;ECUs n.e., Parkabschaltung bis 21.11.2019;"Es scheint so, dass die Kunden Firewall die Anlagensteuerung blockiert. Es wird daran gearbeitet.
AW: Ungeplanter Netzausfall WP GT1 Mo 18.11.2019 09:17
"
141;201911-185;HMU n.e.;"192.168.3.52 n.e.
WEA steht trotz Wind ."
142;202002-268;RBL1 edge defekt;RBL1 edge defekt
143;202004-050;ECU nicht erreichbar;ECU nicht erreichbar
144;202004-205;bcgw003.bladecontrol.de verlangt Passwort von ECUs;"Using username ""bladecontrol"".
Server refused our key
bladecontrol@10.41.52.52's password:....

! alle BLADEcontrol® auf bcgw003.bladecontrol.de

"
145;202005-073;ECUs n.e.;Alle ECUs im WP nicht erreichbar
146;202005-172;HMU n.e.;"192.168.3.52 n.e.
WEA produziert lt. ModBus"
147;202006-114;ECU nicht erreichbar;ECU nicht erreichbar
148;202006-124;/dev/hdb1  0 100% /home/cmrbl_mnt;/dev/hdb1             3,8G  3,8G     0 100% /home/cmrbl_mnt
